review_id,company,language,sentiment,rating,city,age_group,customer_type,service_type,timestamp,review_text
4638,WE Telecom Egypt,English,Negative,2,Cairo,46-60,Remote Worker,Fiber Internet,2025-03-23 07:08,the app keeps crashing I keep having the same problem. in Cairo as a remote worker on Fiber Internet sometimes 🙂
4670,WE Telecom Egypt,English,Negative,2,Mansoura,18-25,Remote Worker,Fiber Internet,2026-02-24 04:19,way too expensive for the service Totally unreliable. in Mansoura as a remote worker on Fiber Internet pretty much ...
5365,Orange Egypt,Arabic,Positive,4,Alexandria,26-35,Elderly User,Mobile Plan,2026-01-15 00:16,النت سريع ومستقر وده فرق معايا كتير في Alexandria. أنا elderly user. على Mobile Plan. للأسف 😕
8040,Etisalat Egypt,Arabic,Neutral,3,Cairo,26-35,Casual Customer,Mobile Data,2025-09-02 12:55,لا كويس ولا وحش في Cairo. أنا casual customer. على Mobile Data. يعني 🔥
8066,Etisalat Egypt,Arabic,Neutral,3,Mansoura,46-60,Gamer,Home Internet,2026-05-05 20:03,الخدمة عادية في Mansoura. أنا gamer. على Home Internet. حاليا ..
8076,Etisalat Egypt,Arabic,Neutral,3,Alexandria,26-35,Student,Home Internet,2025-01-11 19:01,فيه مميزات وعيوب في Alexandria. أنا student. على Home Internet. بصراحة 🔥
7827,Etisalat Egypt,Arabic,Positive,4,Port Said,18-25,Elderly User,Mobile Data,2025-11-06 23:19,الشبكة قوية في منطقتي والخدمة فعلا ممتازة في Port Said. أنا elderly user. على Mobile Data. للأسف 🙂
3164,WE Telecom Egypt,Arabic,Mixed,3,Aswan,46-60,Parent,Fiber Internet,2026-04-10 01:20,التطبيق مفيد لكن فيه bugs لكن التجربة مش ثابتة في Aswan. أنا parent. على Fiber Internet. تقريبا ..
403,Vodafone Egypt,Arabic,Positive,4,Ismailia,18-25,Heavy User,Mobile Data,2026-03-15 08:35,خدمة العملاء محترمة وبيوفر لي الوقت في Ismailia. أنا heavy user. على Mobile Data. للأسف 😕
8715,Etisalat Egypt,Arabic,Highly Negative,1,Cairo,26-35,Parent,Mobile Plan,2026-03-14 22:28,النت بطيء جدا وده مسبب لي مشكلة كبيرة في Cairo. أنا parent. على Mobile Plan. بصراحة 🔥
4272,WE Telecom Egypt,English,Neutral,3,Mansoura,18-25,Casual Customer,Home Internet,2025-10-04 22:38,standard experience in Mansoura as a casual customer on Home Internet pretty much 😐
5075,Orange Egypt,Arabic,Highly Positive,5,Tanta,36-45,Elderly User,Mobile Data,2025-10-24 07:28,الشبكة قوية في منطقتي وبيوفر لي الوقت في Tanta. أنا elderly user. على Mobile Data. بصراحة 🙂
5814,Orange Egypt,Arabic,Mixed,3,Port Said,36-45,Parent,Home Internet,2026-01-10 15:57,المكالمات تمام بس أوقات النت يهبط بس محتاج تحسين في Port Said. أنا parent. على Home Internet. يعني ..
1302,Vodafone Egypt,English,Highly Positive,5,Alexandria,26-35,Parent,Fiber Internet,2025-04-01 14:15,customer support was helpful I use it every day. in Alexandria as a parent on Fiber Internet pretty much ...
9590,Etisalat Egypt,English,Negative,2,Ismailia,26-35,Gamer,Home Internet,2026-04-03 08:24,support takes too long Not worth the money. in Ismailia as a gamer on Home Internet sometimes 🔥
4733,WE Telecom Egypt,English,Negative,2,Cairo,46-60,Business User,Home Internet,2025-04-10 19:39,billing is confusing I keep having the same problem. in Cairo for work on Home Internet overall 😐
3390,WE Telecom Egypt,Arabic,Negative,2,Cairo,26-35,Casual Customer,Home Internet,2025-11-25 22:44,الباقة غالية وكل يوم نفس المعاناة في Cairo. أنا casual customer. على Home Internet. يعني 😊
4195,WE Telecom Egypt,English,Neutral,3,Giza,26-35,Elderly User,Mobile Data,2026-03-02 04:04,average service overall in Giza as a elderly user on Mobile Data pretty much 😡
5248,Orange Egypt,Arabic,Positive,4,Alexandria,46-60,Remote Worker,Mobile Data,2025-11-23 03:54,الشبكة قوية في منطقتي والخدمة فعلا ممتازة في Alexandria. أنا remote worker. على Mobile Data. بصراحة 😊
2193,Vodafone Egypt,English,Negative,2,Ismailia,26-35,Elderly User,Mobile Data,2025-04-29 21:26,signal drops often Not worth the money. in Ismailia as a elderly user on Mobile Data overall 🔥
4910,WE Telecom Egypt,English,Highly Negative,1,Giza,18-25,Heavy User,Mobile Plan,2025-11-21 16:56,the app keeps crashing I keep having the same problem. in Giza as a heavy user on Mobile Plan literally ...
5184,Orange Egypt,Arabic,Highly Positive,5,Luxor,26-35,Gamer,Mobile Data,2025-09-09 23:21,النت سريع ومستقر ومرتاح جدًا في الاستخدام في Luxor. أنا gamer. على Mobile Data. بصراحة 😊
1424,Vodafone Egypt,English,Highly Positive,5,Assiut,18-25,Student,Fiber Internet,2025-04-20 07:04,calls are crystal clear Works better than expected. in Assiut as a student on Fiber Internet sometimes 🙂
1871,Vodafone Egypt,English,Neutral,3,Cairo,26-35,Elderly User,Mobile Data,2026-05-02 19:39,works fine for basic use in Cairo as a elderly user on Mobile Data literally 🔥
3292,WE Telecom Egypt,Arabic,Mixed,3,Cairo,46-60,Business User,Mobile Data,2026-03-03 03:04,التطبيق مفيد لكن فيه bugs لكن التجربة مش ثابتة في Cairo. للشغل. على Mobile Data. يعني 🔥
9423,Etisalat Egypt,English,Mixed,3,Assiut,36-45,Elderly User,Mobile Data,2026-01-11 02:14,fast internet but poor support Decent but needs improvement. in Assiut as a elderly user on Mobile Data overall 🔥
9461,Etisalat Egypt,English,Mixed,3,Alexandria,18-25,Elderly User,Mobile Data,2025-12-14 11:40,"fast internet but poor support Nice features, but the experience is inconsistent. in Alexandria as a elderly user on Mobile Data pretty much ..."
