review_id,company,language,sentiment,rating,city,age_group,customer_type,service_type,timestamp,review_text
6394,Orange Egypt,Arabic,Neutral,3,Cairo,36-45,Elderly User,Mobile Plan,2025-07-01 07:07,الموضوع ماشي الحال في Mansoura، أنا Remote Worker والتجربة كويسة
3868,WE Telecom Egypt,Arabic,Highly Positive,5,Giza,46-60,Heavy User,Home Internet,2025-07-01 09:39,المكالمات واضحة جدًا في Tanta، بصراحة أوقات بيبقى فيه بطء
8549,Etisalat Egypt,English,Highly Positive,5,Port Said,18-25,Student,Fiber Internet,2026-01-07 03:46,Calls are crystal clear in Mansoura overall and the experience is fair.
1748,Vodafone Egypt,English,Highly Negative,1,Cairo,18-25,Elderly User,Mobile Plan,2026-03-13 00:00,أسوأ خدمة على الإطلاق in Port Said 🙂 but it could improve.
6286,Orange Egypt,Arabic,Neutral,3,Assiut,18-25,Remote Worker,Mobile Data,2026-04-28 21:24,فيه مميزات وعيوب في Luxor، على Home Internet أوقات بيبقى فيه بطء
8194,Etisalat Egypt,Arabic,Positive,4,Aswan,18-25,Gamer,Mobile Plan,2025-05-25 12:14,التغطية جيدة في منطقتي في Port Said، 🔥 أوقات بيبقى فيه بطء
8175,Etisalat Egypt,English,Positive,4,Alexandria,26-35,Gamer,Fiber Internet,2026-05-05 13:26,السرعة جيدة أغلب الوقت in Cairo age 46-60 though peak hours are rough.
9263,Etisalat Egypt,Arabic,Neutral,3,Alexandria,26-35,Business User,Home Internet,2026-06-14 20:14,فيه مميزات وعيوب في Luxor، على Home Internet لكن محتاج تحسين بسيط
4653,WE Telecom Egypt,English,Neutral,3,Ismailia,46-60,Heavy User,Mobile Plan,2026-06-05 04:40,Average service overall in Luxor !! but it could improve.
2473,Vodafone Egypt,English,Positive,4,Tanta,18-25,Elderly User,Home Internet,2025-08-15 02:45,The app works fine in Tanta !! and the experience is fair.
2133,Vodafone Egypt,English,Positive,4,Ismailia,46-60,Remote Worker,Home Internet,2025-09-08 17:46,السرعة جيدة أغلب الوقت in Assiut as a parent and it works for daily use.
9898,Etisalat Egypt,Arabic,Neutral,3,Luxor,36-45,Elderly User,Fiber Internet,2025-03-02 18:47,الخدمة عادية في Giza، 🙂 والخدمة غالبًا مستقرة
